Player,Yards,Attempts,Completions,CompletionPercent,Touchdowns
JoeBurrow,4918.0,7.5,652,460.0,70.6
JaredGoff,4629.0,8.6,539,390.0,72.4
BakerMayfield,4500.0,7.9,570,407.0,71.4
GenoSmith,4320.0,7.5,578,407.0,70.4
SamDarnold,4319.0,7.9,545,361.0,66.2
LamarJackson,4172.0,8.8,474,316.0,66.7
PatrickMahomes,3928.0,6.8,581,392.0,67.5
AaronRodgers,3897.0,6.7,584,368.0,63.0
JustinHerbert,3870.0,7.7,504,332.0,65.9
BrockPurdy,3864.0,8.5,455,300.0,65.9
KylerMurray,3851.0,7.1,541,372.0,68.8
BoNix,3775.0,6.7,567,376.0,66.3
MatthewStafford,3762.0,7.3,517,340.0,65.8
JoshAllen,3731.0,7.7,483,307.0,63.6
C.J.Stroud,3727.0,7.0,532,336.0,63.2
JaydenDaniels,3568.0,7.4,480,331.0,69.0
CalebWilliams,3541.0,6.3,562,351.0,62.5
KirkCousins,3508.0,7.7,453,303.0,66.9
JordanLove,3389.0,8.0,425,268.0,63.1
JalenHurts,2903.0,8.0,361,248.0,68.7
TuaTagovailoa,2867.0,7.2,399,291.0,72.9
RussellWilson,2482.0,7.4,336,214.0,63.7
BryceYoung,2403.0,6.3,384,234.0,60.9
DrakeMaye,2276.0,6.7,338,225.0,66.6
DerekCarr,2145.0,7.7,279,189.0,67.7
